Country,Weighted Average,Standardized score
United States,2.6666666667,-0.0284688834
Canada,2.3673469388,-0.6496414924
France,2.5306122449,-0.3108200693
Germany,2.2448979592,-0.9037575597
Greece,3.21,1.0991005776
Hungary,3.306122449,1.2985816905
Italy,3.16,0.9953365168
Netherlands,2.3131313131,-0.762154162
Poland,3.202020202,1.0825402528
Spain,2.73,0.1029655937
Sweden,1.8282828283,-1.7683511154
United Kingdom,2.7142857143,0.0703540317
Australia,2.05,-1.3082256336
Japan,3.202020202,1.0825402528
United States,3.59,-0.5176502373
Canada,3.42,-1.9733808405
France,3.7575757576,0.9173212842
Germany,3.76,0.9380803658
Greece,3.7,0.4242930941
Hungary,3.76,0.9380803658
Italy,3.5353535354,-0.985594537
Netherlands,3.8383838384,1.6092906736
Poland,3.6464646465,-0.0341366264
Spain,3.54,-0.9458062971
Sweden,3.57,-0.6889126612
United Kingdom,3.7623762376,0.9584283766
Australia,3.61,-0.3463878134
Japan,3.6161616162,-0.2936251475
United States,2.5252525253,0.440922977
Canada,2.0408163265,-0.46595135
France,1.8775510204,-0.771587294
Germany,2.112244898,-0.332235625
Greece,3.23,1.760224453
Hungary,2.8484848485,1.0460204
Italy,2.8762886598,1.098069695
Netherlands,1.8,-0.916764367
Poland,2.9696969697,1.272931934
Spain,1.7010309278,-1.102036464
Sweden,1.6732673267,-1.154010485
United Kingdom,2.1717171717,-0.22090233
Australia,1.94,-0.654681545
Japan,0,0
United States,3.2424242424,-0.2549215319
Canada,3.4387755102,0.6177589927
France,3.2525252525,-0.2100277306
Germany,3,-1.3323727622
Greece,3.58,1.2454293063
Hungary,3.61,1.3787638961
Italy,3.387755102,0.3909994863
Netherlands,3.1616161616,-0.614071942
Poland,3.5252525253,1.0021049035
Spain,3.1515151515,-0.6589657432
Sweden,2.79,-2.2657148904
United Kingdom,3.3737373737,0.3286978845
Australia,3.35,0.2231974516
Japan,3.3333333333,0.1491226795
